created_at,tweet_id,retweet_count,favorite_count
Mon Feb 06 20:55:28 +0000 2017,828708714936930305,12882,40241
Mon Feb 06 17:02:17 +0000 2017,828650029636317184,1544,10467
Mon Feb 06 01:07:28 +0000 2017,828409743546925057,1305,6898
Mon Feb 06 01:03:14 +0000 2017,828408677031882754,1477,8398
Sun Feb 05 23:15:47 +0000 2017,828381636999917570,2554,13864
Sun Feb 05 22:55:23 +0000 2017,828376505180889089,1216,8112
Sun Feb 05 22:40:03 +0000 2017,828372645993398273,3344,13756
Sun Feb 05 21:56:51 +0000 2017,828361771580813312,195,2408
Sun Feb 05 01:04:17 +0000 2017,828046555563323392,3260,12923
Sat Feb 04 22:45:42 +0000 2017,828011680017821696,2451,11411
Sat Feb 04 17:34:40 +0000 2017,827933404142436356,5987,22180
Fri Feb 03 23:04:02 +0000 2017,827653905312006145,3433,16983
Fri Feb 03 19:31:54 +0000 2017,827600520311402496,1082,8143
Fri Feb 03 01:16:53 +0000 2017,827324948884643840,3510,17523
Thu Feb 02 18:52:38 +0000 2017,827228250799742977,13517,0
Thu Feb 02 17:00:17 +0000 2017,827199976799354881,2579,11659
Thu Feb 02 01:01:21 +0000 2017,826958653328592898,5757,23767
Wed Feb 01 17:44:55 +0000 2017,826848821049180160,11878,40325
Wed Feb 01 02:17:19 +0000 2017,826615380357632002,4521,0
Wed Feb 01 01:11:25 +0000 2017,826598799820865537,292,5637
Wed Feb 01 01:09:42 +0000 2017,826598365270007810,2709,11117
Tue Jan 31 17:06:32 +0000 2017,826476773533745153,4821,20275
Tue Jan 31 01:27:39 +0000 2017,826240494070030336,2965,14614
Mon Jan 30 23:05:46 +0000 2017,826204788643753985,1075,5361
Mon Jan 30 17:10:04 +0000 2017,826115272272650244,3599,17299
Mon Jan 30 01:21:19 +0000 2017,825876512159186944,2146,11525
Sun Jan 29 22:15:05 +0000 2017,825829644528148480,2848,14025
Sun Jan 29 02:44:34 +0000 2017,825535076884762624,19669,56413
Sat Jan 28 01:04:51 +0000 2017,825147591692263424,5244,20181
Fri Jan 27 23:16:13 +0000 2017,825120256414846976,1483,0
Fri Jan 27 17:04:02 +0000 2017,825026590719483904,1483,7020
Fri Jan 27 01:49:15 +0000 2017,824796380199809024,6288,0
Fri Jan 27 00:24:48 +0000 2017,824775126675836928,4069,16508
Thu Jan 26 17:02:56 +0000 2017,824663926340194305,1993,11113
Wed Jan 25 18:38:36 +0000 2017,824325613288833024,11848,12999
Wed Jan 25 16:45:05 +0000 2017,824297048279236611,4463,16625
